Drone_ID,X_Coordinate,Y_Coordinate,Z_Altitude,State,Battery (%),Service Time (min),Zone,Surveillance Duration (min),Geofence_SW,Geofence_NE
DRN_012,96.08,86.16,21.81,Going for pickup,82.2,24,West Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_008,36.88,15.91,41.22,Going for pickup,42.9,36,West Bangalore,,,
DRN_011,77.79,14.41,0.43,Malfunction,87.9,18,East Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_002,29.9,60.63,0.29,In house,53.5,9,Central Bangalore,,,
DRN_013,90.05,34.41,31.0,Recharging,60.8,21,West Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_014,67.95,54.81,38.28,Going for pickup,90.4,9,North Bangalore,,,
DRN_003,67.79,91.21,0.87,Recharging,73.5,27,West Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_008,36.88,15.91,41.22,Going for pickup,42.9,36,West Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_001,85.63,49.45,9.67,Going home,95.5,15,South Bangalore,,,
DRN_009,27.17,37.44,3.09,Going for delivery,25.6,45,North Bangalore,,,
DRN_008,36.88,15.91,41.22,Going for pickup,42.9,36,West Bangalore,,,
DRN_002,29.9,60.63,0.29,In house,53.5,9,Central Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_001,85.63,49.45,9.67,Going home,95.5,15,South Bangalore,,,
DRN_019,47.45,74.84,19.8,Going for pickup,27.7,11,West Bangalore,,,
DRN_005,97.27,58.38,0.96,Going for delivery,59.0,57,West Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_014,67.95,54.81,38.28,Going for pickup,90.4,9,North Bangalore,,,
DRN_004,96.16,59.74,18.2,Going for pickup,40.9,52,East Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_009,27.17,37.44,3.09,Going for delivery,25.6,45,North Bangalore,,,
DRN_014,67.95,54.81,38.28,Going for pickup,90.4,9,North Bangalore,,,
DRN_018,27.26,59.04,22.47,Going for pickup,94.7,7,West Bangalore,,,
DRN_018,27.26,59.04,22.47,Going for pickup,94.7,7,West Bangalore,,,
DRN_007,70.86,66.8,9.12,Going home,55.8,47,South Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_014,67.95,54.81,38.28,Going for pickup,90.4,9,North Bangalore,,,
DRN_020,65.68,79.16,37.25,In house,90.1,49,Central Bangalore,,,
DRN_008,36.88,15.91,41.22,Going for pickup,42.9,36,West Bangalore,,,
DRN_003,67.79,91.21,0.87,Recharging,73.5,27,West Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_016,69.12,23.78,20.71,Going for delivery,50.6,48,South Bangalore,,,
DRN_019,47.45,74.84,19.8,Going for pickup,27.7,11,West Bangalore,,,
DRN_019,47.45,74.84,19.8,Going for pickup,27.7,11,West Bangalore,,,
DRN_008,36.88,15.91,41.22,Going for pickup,42.9,36,West Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_001,85.63,49.45,9.67,Going home,95.5,15,South Bangalore,,,
DRN_013,90.05,34.41,31.0,Recharging,60.8,21,West Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_006,36.69,42.94,48.09,In house,46.4,45,East Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_012,96.08,86.16,21.81,Going for pickup,82.2,24,West Bangalore,,,
DRN_003,67.79,91.21,0.87,Recharging,73.5,27,West Bangalore,,,
DRN_011,77.79,14.41,0.43,Malfunction,87.9,18,East Bangalore,,,
DRN_011,77.79,14.41,0.43,Malfunction,87.9,18,East Bangalore,,,
DRN_011,77.79,14.41,0.43,Malfunction,87.9,18,East Bangalore,,,
DRN_020,65.68,79.16,37.25,In house,90.1,49,Central Bangalore,,,
DRN_001,85.63,49.45,9.67,Going home,95.5,15,South Bangalore,,,
DRN_012,96.08,86.16,21.81,Going for pickup,82.2,24,West Bangalore,,,
DRN_003,67.79,91.21,0.87,Recharging,73.5,27,West Bangalore,,,
DRN_013,90.05,34.41,31.0,Recharging,60.8,21,West Bangalore,,,
DRN_010,44.13,60.99,47.63,Going home,83.9,59,Central Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_005,97.27,58.38,0.96,Going for delivery,59.0,57,West Bangalore,,,
DRN_007,70.86,66.8,9.12,Going home,55.8,47,South Bangalore,,,
DRN_009,27.17,37.44,3.09,Going for delivery,25.6,45,North Bangalore,,,
DRN_008,36.88,15.91,41.22,Going for pickup,42.9,36,West Bangalore,,,
DRN_002,29.9,60.63,0.29,In house,53.5,9,Central Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_011,77.79,14.41,0.43,Malfunction,87.9,18,East Bangalore,,,
DRN_008,36.88,15.91,41.22,Going for pickup,42.9,36,West Bangalore,,,
DRN_001,85.63,49.45,9.67,Going home,95.5,15,South Bangalore,,,
DRN_010,44.13,60.99,47.63,Going home,83.9,59,Central Bangalore,,,
DRN_018,27.26,59.04,22.47,Going for pickup,94.7,7,West Bangalore,,,
DRN_019,47.45,74.84,19.8,Going for pickup,27.7,11,West Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_007,70.86,66.8,9.12,Going home,55.8,47,South Bangalore,,,
DRN_002,29.9,60.63,0.29,In house,53.5,9,Central Bangalore,,,
DRN_013,90.05,34.41,31.0,Recharging,60.8,21,West Bangalore,,,
DRN_013,90.05,34.41,31.0,Recharging,60.8,21,West Bangalore,,,
DRN_010,44.13,60.99,47.63,Going home,83.9,59,Central Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_018,27.26,59.04,22.47,Going for pickup,94.7,7,West Bangalore,,,
DRN_013,90.05,34.41,31.0,Recharging,60.8,21,West Bangalore,,,
DRN_012,96.08,86.16,21.81,Going for pickup,82.2,24,West Bangalore,,,
DRN_010,44.13,60.99,47.63,Going home,83.9,59,Central Bangalore,,,
DRN_003,67.79,91.21,0.87,Recharging,73.5,27,West Bangalore,,,
DRN_002,29.9,60.63,0.29,In house,53.5,9,Central Bangalore,,,
DRN_007,70.86,66.8,9.12,Going home,55.8,47,South Bangalore,,,
DRN_012,96.08,86.16,21.81,Going for pickup,82.2,24,West Bangalore,,,
DRN_019,47.45,74.84,19.8,Going for pickup,27.7,11,West Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_012,96.08,86.16,21.81,Going for pickup,82.2,24,West Bangalore,,,
DRN_009,27.17,37.44,3.09,Going for delivery,25.6,45,North Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_013,90.05,34.41,31.0,Recharging,60.8,21,West Bangalore,,,
DRN_019,47.45,74.84,19.8,Going for pickup,27.7,11,West Bangalore,,,
DRN_010,44.13,60.99,47.63,Going home,83.9,59,Central Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_008,36.88,15.91,41.22,Going for pickup,42.9,36,West Bangalore,,,
DRN_010,44.13,60.99,47.63,Going home,83.9,59,Central Bangalore,,,
DRN_002,29.9,60.63,0.29,In house,53.5,9,Central Bangalore,,,
DRN_006,36.69,42.94,48.09,In house,46.4,45,East Bangalore,,,
DRN_012,96.08,86.16,21.81,Going for pickup,82.2,24,West Bangalore,,,
DRN_010,44.13,60.99,47.63,Going home,83.9,59,Central Bangalore,,,
DRN_009,27.17,37.44,3.09,Going for delivery,25.6,45,North Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_006,36.69,42.94,48.09,In house,46.4,45,East Bangalore,,,
DRN_008,36.88,15.91,41.22,Going for pickup,42.9,36,West Bangalore,,,
DRN_009,27.17,37.44,3.09,Going for delivery,25.6,45,North Bangalore,,,
DRN_008,36.88,15.91,41.22,Going for pickup,42.9,36,West Bangalore,,,
DRN_012,96.08,86.16,21.81,Going for pickup,82.2,24,West Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_004,96.16,59.74,18.2,Going for pickup,40.9,52,East Bangalore,,,
DRN_005,97.27,58.38,0.96,Going for delivery,59.0,57,West Bangalore,,,
DRN_004,96.16,59.74,18.2,Going for pickup,40.9,52,East Bangalore,,,
DRN_016,69.12,23.78,20.71,Going for delivery,50.6,48,South Bangalore,,,
DRN_019,47.45,74.84,19.8,Going for pickup,27.7,11,West Bangalore,,,
DRN_011,77.79,14.41,0.43,Malfunction,87.9,18,East Bangalore,,,
DRN_019,47.45,74.84,19.8,Going for pickup,27.7,11,West Bangalore,,,
DRN_007,70.86,66.8,9.12,Going home,55.8,47,South Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_009,27.17,37.44,3.09,Going for delivery,25.6,45,North Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_013,90.05,34.41,31.0,Recharging,60.8,21,West Bangalore,,,
DRN_004,96.16,59.74,18.2,Going for pickup,40.9,52,East Bangalore,,,
DRN_005,97.27,58.38,0.96,Going for delivery,59.0,57,West Bangalore,,,
DRN_008,36.88,15.91,41.22,Going for pickup,42.9,36,West Bangalore,,,
DRN_011,77.79,14.41,0.43,Malfunction,87.9,18,East Bangalore,,,
DRN_020,65.68,79.16,37.25,In house,90.1,49,Central Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_001,85.63,49.45,9.67,Going home,95.5,15,South Bangalore,,,
DRN_003,67.79,91.21,0.87,Recharging,73.5,27,West Bangalore,,,
DRN_002,29.9,60.63,0.29,In house,53.5,9,Central Bangalore,,,
DRN_003,67.79,91.21,0.87,Recharging,73.5,27,West Bangalore,,,
DRN_012,96.08,86.16,21.81,Going for pickup,82.2,24,West Bangalore,,,
DRN_004,96.16,59.74,18.2,Going for pickup,40.9,52,East Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_012,96.08,86.16,21.81,Going for pickup,82.2,24,West Bangalore,,,
DRN_009,27.17,37.44,3.09,Going for delivery,25.6,45,North Bangalore,,,
DRN_011,77.79,14.41,0.43,Malfunction,87.9,18,East Bangalore,,,
DRN_018,27.26,59.04,22.47,Going for pickup,94.7,7,West Bangalore,,,
DRN_018,27.26,59.04,22.47,Going for pickup,94.7,7,West Bangalore,,,
DRN_006,36.69,42.94,48.09,In house,46.4,45,East Bangalore,,,
DRN_010,44.13,60.99,47.63,Going home,83.9,59,Central Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_001,85.63,49.45,9.67,Going home,95.5,15,South Bangalore,,,
DRN_012,96.08,86.16,21.81,Going for pickup,82.2,24,West Bangalore,,,
DRN_013,90.05,34.41,31.0,Recharging,60.8,21,West Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_006,36.69,42.94,48.09,In house,46.4,45,East Bangalore,,,
DRN_019,47.45,74.84,19.8,Going for pickup,27.7,11,West Bangalore,,,
DRN_008,36.88,15.91,41.22,Going for pickup,42.9,36,West Bangalore,,,
DRN_010,44.13,60.99,47.63,Going home,83.9,59,Central Bangalore,,,
DRN_004,96.16,59.74,18.2,Going for pickup,40.9,52,East Bangalore,,,
DRN_020,65.68,79.16,37.25,In house,90.1,49,Central Bangalore,,,
DRN_002,29.9,60.63,0.29,In house,53.5,9,Central Bangalore,,,
DRN_006,36.69,42.94,48.09,In house,46.4,45,East Bangalore,,,
DRN_018,27.26,59.04,22.47,Going for pickup,94.7,7,West Bangalore,,,
DRN_014,67.95,54.81,38.28,Going for pickup,90.4,9,North Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_006,36.69,42.94,48.09,In house,46.4,45,East Bangalore,,,
DRN_006,36.69,42.94,48.09,In house,46.4,45,East Bangalore,,,
DRN_006,36.69,42.94,48.09,In house,46.4,45,East Bangalore,,,
DRN_017,47.94,51.06,1.69,Going home,47.2,57,West Bangalore,,,
DRN_010,44.13,60.99,47.63,Going home,83.9,59,Central Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_019,47.45,74.84,19.8,Going for pickup,27.7,11,West Bangalore,,,
DRN_015,82.24,32.69,32.4,Going for delivery,57.1,24,Central Bangalore,,,
DRN_013,90.05,34.41,31.0,Recharging,60.8,21,West Bangalore,,,
DRN_009,27.17,37.44,3.09,Going for delivery,25.6,45,North Bangalore,,,
